filename,rbr,percentage
0647.jpg,False,0.0
0075.jpg,False,0.0
0117.jpg,True,0.6708
0580.jpg,False,0.0
0543.jpg,True,0.034
0797.jpg,False,0.0
0805.jpg,True,0.2044
0300.jpg,False,0.0
0208.jpg,True,0.1476
0985.jpg,True,0.6909
0188.jpg,False,0.0
0791.jpg,False,0.0
0554.jpg,True,0.6483
0403.jpg,False,0.0
0182.jpg,True,0.561
0761.jpg,True,0.4342
0983.jpg,False,0.0
0174.jpg,True,0.6621
0469.jpg,True,0.0039
0389.jpg,False,0.0
0101.jpg,False,0.0
0778.jpg,True,0.0463
0876.jpg,False,0.0
0252.jpg,True,0.4872
0621.jpg,True,0.3178
0936.jpg,True,0.1754
0745.jpg,False,0.0
0052.jpg,True,0.1331
0806.jpg,True,0.3881
0665.jpg,False,0.0
0694.jpg,True,0.1103
0482.jpg,True,0.0654
0987.jpg,True,0.215
0408.jpg,True,0.6386
0308.jpg,True,0.5629
0059.jpg,False,0.0
0599.jpg,True,0.1894
0544.jpg,True,0.1665
0629.jpg,True,0.5579999999999999
0682.jpg,True,0.0327
0243.jpg,False,0.0
1008.jpg,True,0.2082
0852.jpg,False,0.0
0654.jpg,False,0.0
0347.jpg,True,0.4379
0216.jpg,False,0.0
0119.jpg,True,0.4347
0592.jpg,True,0.5812
0253.jpg,False,0.0
0450.jpg,False,0.0
0290.jpg,True,0.2913
0422.jpg,False,0.0
0333.jpg,True,0.5608
0824.jpg,False,0.0
0232.jpg,True,0.2714
0720.jpg,False,0.0
0583.jpg,True,0.2266
0261.jpg,False,0.0
0055.jpg,True,0.0377
0023.jpg,False,0.0
0662.jpg,False,0.0
0560.jpg,True,0.4346
0680.jpg,True,0.7077
0228.jpg,False,0.0
0788.jpg,False,0.0
0567.jpg,True,0.3444
0488.jpg,False,0.0
0058.jpg,False,0.0
0854.jpg,True,0.6467
0123.jpg,True,0.0998
0785.jpg,False,0.0
0742.jpg,False,0.0
0698.jpg,False,0.0
0009.jpg,True,0.1398
0114.jpg,False,0.0
0591.jpg,False,0.0
0828.jpg,True,0.2613
0043.jpg,True,0.7348
0187.jpg,True,0.3048
0432.jpg,True,0.4742
0418.jpg,False,0.0
0804.jpg,True,0.2028
0352.jpg,True,0.2176
0519.jpg,True,0.2565
0643.jpg,False,0.0
0443.jpg,True,0.3393
0437.jpg,True,0.2596
0436.jpg,False,0.0
0971.jpg,True,0.821
0044.jpg,True,0.5042
0003.jpg,False,0.0
0697.jpg,False,0.0
0005.jpg,True,0.0108
0677.jpg,True,0.4701
0730.jpg,True,0.4971
0894.jpg,True,0.6211
0346.jpg,True,0.602
0152.jpg,True,0.2663
0281.jpg,True,0.5768
0190.jpg,True,0.0271
0915.jpg,True,0.23199999999999998
0053.jpg,True,0.0787
0634.jpg,False,0.0
0441.jpg,False,0.0
0399.jpg,True,0.7128
0217.jpg,False,0.0
0865.jpg,False,0.0
0992.jpg,False,0.0
0976.jpg,True,0.0223
0807.jpg,False,0.0
0244.jpg,True,0.6204
0122.jpg,True,0.2254
0343.jpg,True,0.0496
0087.jpg,False,0.0
0821.jpg,True,0.6085
0153.jpg,False,0.0
0426.jpg,True,0.7346
0995.jpg,True,0.6188
0834.jpg,True,0.0197
0831.jpg,False,0.0
0582.jpg,False,0.0
0254.jpg,True,0.5783
0954.jpg,False,0.0
0910.jpg,True,0.4754
0440.jpg,False,0.0
0407.jpg,True,0.1481
0589.jpg,True,0.0267
0486.jpg,False,0.0
0930.jpg,True,0.3293
0587.jpg,True,0.2437
0552.jpg,False,0.0
0945.jpg,False,0.0
0991.jpg,False,0.0
0279.jpg,False,0.0
0646.jpg,True,0.6571
0451.jpg,True,0.2551
0734.jpg,True,0.2173
0074.jpg,False,0.0
0502.jpg,True,0.5562
0473.jpg,True,0.8212
0935.jpg,False,0.0
0013.jpg,False,0.0
0416.jpg,True,0.1029
0045.jpg,False,0.0
0816.jpg,True,0.4819
1009.jpg,True,0.2313
0885.jpg,True,0.0396
0867.jpg,True,0.5038
0329.jpg,True,0.0468
0862.jpg,False,0.0
0032.jpg,True,0.8451
0669.jpg,False,0.0
0410.jpg,True,0.8014
0317.jpg,False,0.0
0940.jpg,True,0.4796
0993.jpg,False,0.0
0925.jpg,False,0.0
0986.jpg,False,0.0
1004.jpg,False,0.0
0926.jpg,True,0.7121
0594.jpg,True,0.3892
0571.jpg,False,0.0
0150.jpg,True,0.1275
0782.jpg,False,0.0
0877.jpg,False,0.0
0105.jpg,True,0.6598
0212.jpg,True,0.5445
0964.jpg,False,0.0
0264.jpg,True,0.223
0588.jpg,True,0.2868
0968.jpg,True,0.5462
0505.jpg,False,0.0
0374.jpg,True,0.7642
0962.jpg,True,0.6522
0909.jpg,True,0.6509
0185.jpg,True,0.4354
0487.jpg,False,0.0
0136.jpg,False,0.0
0259.jpg,True,0.4837
0065.jpg,False,0.0
0958.jpg,True,0.6399
0262.jpg,True,0.6309
0048.jpg,True,0.2934
0613.jpg,True,0.6915
0912.jpg,False,0.0
0227.jpg,False,0.0
0050.jpg,False,0.0
0737.jpg,True,0.2049
0089.jpg,True,0.1166
0579.jpg,False,0.0
0034.jpg,False,0.0
0155.jpg,False,0.0
0537.jpg,True,0.0163
0442.jpg,False,0.0
0198.jpg,True,0.444
0888.jpg,False,0.0
0931.jpg,False,0.0
0998.jpg,False,0.0
0025.jpg,False,0.0
0274.jpg,False,0.0
0999.jpg,True,0.2322
0606.jpg,True,0.1096
0984.jpg,True,0.3272
0302.jpg,True,0.0962
0741.jpg,True,0.1937
0911.jpg,False,0.0
0017.jpg,False,0.0
0714.jpg,True,0.0351
0965.jpg,False,0.0
0997.jpg,True,0.2098
0948.jpg,False,0.0
0695.jpg,True,0.0406
0404.jpg,False,0.0
0601.jpg,True,0.7705
0550.jpg,False,0.0
0947.jpg,False,0.0
0167.jpg,False,0.0
0769.jpg,False,0.0
0934.jpg,False,0.0
0179.jpg,False,0.0
0562.jpg,False,0.0
0098.jpg,False,0.0
0905.jpg,False,0.0
0265.jpg,False,0.0
0535.jpg,True,0.3408
0878.jpg,False,0.0
0360.jpg,True,0.6935
0071.jpg,False,0.0
0066.jpg,False,0.0
0373.jpg,False,0.0
0896.jpg,True,0.2494
0875.jpg,False,0.0
0126.jpg,False,0.0
0475.jpg,False,0.0
0794.jpg,False,0.0
0306.jpg,False,0.0
0725.jpg,False,0.0
0143.jpg,False,0.0
0529.jpg,False,0.0
0491.jpg,False,0.0
0873.jpg,False,0.0
0786.jpg,False,0.0
0898.jpg,False,0.0
0024.jpg,True,0.2799
0826.jpg,True,0.5182
0132.jpg,False,0.0
0438.jpg,True,0.0338
0283.jpg,False,0.0
0124.jpg,False,0.0
0047.jpg,True,0.6968
0757.jpg,False,0.0
0811.jpg,True,0.4521
